StringID_0,String_1,metadata
2,戦えるデジモンがいなくなります！,battle_info_message
3,戦闘不能になったデジモンのみチェンジできます,battle_info_message
4,敵全体,battle_info_message
5,味方全体,battle_info_message
6,全体,battle_info_message
100004,敵全体,battle_info_message
100005,味方全体,battle_info_message
100006,全体,battle_info_message
7,ランダム,battle_info_message
8,{d0}は力を振り絞った！,battle_info_message
9,{d0}達は力を振り絞った！,battle_info_message
10,敵は総崩れになっている！,battle_info_message
11,通信待機中…,battle_info_message
12,逃げられなかった！,battle_info_message
13,死まで{d0}ターン……,battle_info_message
14,味方の先制攻撃！,battle_info_message
15,敵の先制攻撃…！,battle_info_message
16,仲間,battle_info_message
100016,仲間,battle_info_message
17,攻撃できる対象がいない……,battle_info_message
18,{d0}は力尽きた！,battle_info_message
19,{d0}と交代した！,battle_info_message
20,{d0}になった！,battle_info_message
21,{d0}は退化した！,battle_info_message
100021,{d0}は退化した！,battle_info_message
22,{d0}は世代が一世代戻った！,battle_info_message
100022,{d0}は世代が一世代戻った！,battle_info_message
23,{d0}のステータスアップとダウンを入れ替えた！,battle_info_message
24,{d0}のステータス変化を吸収した！,battle_info_message
25,ぎっくり腰！！,battle_info_message
171,新宿　歌舞伎町　劇場広場,battle_map_name
172,新宿　とある路地裏,battle_map_name
173,新宿　アンダーアリーナ,battle_map_name
174,東新宿　ビジョン広場,battle_map_name
175,東新宿　高州街道交差点,battle_map_name
176,西部新宿　大ガード交差点,battle_map_name
181,世紀末：歌舞伎町　劇場広場,battle_map_name
182,世紀末：とある路地裏,battle_map_name
184,世紀末：ビジョン広場,battle_map_name
185,世紀末：高州街道交差点,battle_map_name
186,世紀末：大ガード交差点,battle_map_name
271,秋葉原　とある路地裏,battle_map_name
371,東京都庁　中央本庁舎前,battle_map_name
381,世紀末：東京都庁　中央本庁舎前,battle_map_name
10171,※未設定,battle_map_name
10172,ヒート・コズミック　赤炎エリア,battle_map_name
10173,ヒート・コズミック　黄炎エリア,battle_map_name
10174,ヒート・コズミック　玉座の間,battle_map_name
10175,チル・コズミック　新月エリア,battle_map_name
10176,チル・コズミック　三日月エリア,battle_map_name
10177,チル・コズミック　玉座の間,battle_map_name
10178,ヒート・コズミック　白炎エリア,battle_map_name
10179,チル・コズミック　半月エリア,battle_map_name
10271,セントラルタウン　駅舎前,battle_map_name
10272,セントラル・アイル,battle_map_name
10273,セントラルタワー　鉄骨迷宮　下層,battle_map_name
10274,セントラルタワー　鉄骨外周,battle_map_name
10275,セントラルタワー　鉄骨迷宮　上層,battle_map_name
10276,セントラルタワー　鉄骨突端,battle_map_name
10277,セントラル・ダウンタウン,battle_map_name
10278,セントラルタウン　螺旋地下水路,battle_map_name
10371,アビス・サーフェス,battle_map_name
10373,アビス・デプス,battle_map_name
10374,アビス・サンクチュアリ,battle_map_name
10375,アビス・サンクチュアリ　玉座の間,battle_map_name
10376,マスターブリンプモン 船内,battle_map_name
10377,アビス・ビーチ,battle_map_name
10378,アビス・サンクチュアリ 牢屋前,battle_map_name
10379,アビス・サンクチュアリ スカルシードラモン,battle_map_name
10380,アビス・デプス シャークモン,battle_map_name
10381,マスターブリンプモン　下層,battle_map_name
10382,※未設定,battle_map_name
10383,※未設定,battle_map_name
10471,ギア・フォレスト　浮遊島平原,battle_map_name
10472,ギア・フォレスト　森の木陰,battle_map_name
10473,ギア・フォレストの集落,battle_map_name
10474,ギア・フォレスト　枯れた木陰,battle_map_name
10475,ギア・フォレスト　聖域の間,battle_map_name
10571,ファクトリアル・タウン,battle_map_name
10572,ファクトリアル・トンネル　坑道,battle_map_name
10573,※削除予定　ファクトリアル・トンネル　コア近くの坑道,battle_map_name
10574,ファクトリアル・コア,battle_map_name
10575,ファクトリアル・エリア,battle_map_name
10576,ハイライズ・コロシアム　決勝リング,battle_map_name
10577,ハイライズ・コロシアム　1戦目リング,battle_map_name
10578,ファクトリアル・タウン アルティメットブラキモン,battle_map_name
10579,ハイライズ・コロシアム　2戦目リング,battle_map_name
10580,ハイライズ・コロシアム　3戦目リング,battle_map_name
10671,パレス・アザーサイド,battle_map_name
10672,パレス・アザーサイド　牢獄の間,battle_map_name
10673,パレス・アザーサイド　玉座の間,battle_map_name
10674,ガーディアン・パレス　玉座の間,battle_map_name
10675,ガーディアン・ターミナル,battle_map_name
10676,※削除予定　ロコモン車上　崩壊前,battle_map_name
10771,ダーク・フィールド　,battle_map_name
10772,ダーク・キャッスル,battle_map_name
10773,ダーク・ガーデン　,battle_map_name
10871,※削除予定　卵の間台座部,battle_map_name
10971,アカシック・ハデス（ダーク・フィールド）,battle_map_name
10972,アカシック・カオス（都庁屋上）,battle_map_name
10973,アカシック・フォレスト（ギア・フォレスト）,battle_map_name
10974,アカシック・アビス（新宿地下）,battle_map_name
10975,アカシック・オブリビオン（ファクトリア）,battle_map_name
10976,アカシック・オブリビオン（ガーディアン・パレス）,battle_map_name
10977,ラストダンジョン（セントラルタウン）,battle_map_name
10978,ラストダンジョン（東商店街）,battle_map_name
10979,ラストダンジョン（御園家リビング）,battle_map_name
10980,ラストダンジョン（戦士たちの酒場）,battle_map_name
10990,アカシックレコード 最深部（ラスボス）,battle_map_name
11071,朽ちた廃線,battle_map_name
11072,巨穴,battle_map_name
11073,朽ちた廃線　きぼうの壁下,battle_map_name
11171,新宿地下水路　南ブロック,battle_map_name
11172,新宿地下貯水槽,battle_map_name
11173,新宿地下水路　最奥,battle_map_name
11174,新宿地下水路　南ブロック レアモン,battle_map_name
11271,新宿地下共同溝　整備区画,battle_map_name
11272,リベリオン・ビレッジ,battle_map_name
11273,新宿地下共同溝,battle_map_name
11371,特殊部隊　地下ベース　パワーローダー久我博士,battle_map_name
11372,※未設定,battle_map_name
11373,地下研究所ダンジョン　廊下,battle_map_name
11471,都庁中央本庁舎　B１F,battle_map_name
11472,都庁中央本庁舎,battle_map_name
11473,都庁中央本庁舎　屋上,battle_map_name
20171,アウター・ダンジョン　h0101用,battle_map_name
20271,アウター・ダンジョン　ベーダモン　通常,battle_map_name
20272,アウター・ダンジョン　ベーダモン　ボス,battle_map_name
20371,アウター・ダンジョン　黒テイルモン　通常,battle_map_name
20372,アウター・ダンジョン　黒テイルモン　ボス,battle_map_name
20471,アウター・ダンジョン　汎用,battle_map_name
20472,アウター・ダンジョン　闇,battle_map_name
20571,アウター・ダンジョン　木,battle_map_name
20671,アウター・ダンジョン　影絵,battle_map_name
20771,アウター・ダンジョン　h0701用,battle_map_name
20871,アウター・ダンジョン　h0801用,battle_map_name
0,なし,belong
1,パペット型,belong
2,哺乳類型,belong
3,獣人型,belong
4,魔人型,belong
5,鉱物型,belong
